New frame
Conqueror: 30 56
Conqueror: 30 32
Conqueror: 30 32
Conqueror: 30 22
Conqueror: 8 22
Conqueror: 8 20
Conqueror: 8 24
Conqueror: 0 32
Conqueror: 0 56
Conqueror: 0 32
Conqueror: 14 22
Conqueror: 14 20
Conqueror: 6 56
Conqueror: 14 24
Conqueror: 6 32
Conqueror: 6 32
Conqueror: 12 56
Conqueror: 20 22
Conqueror: 20 20
Conqueror: 12 32
Conqueror: 12 32
Conqueror: 18 56
Conqueror: 18 32
Conqueror: 18 32
Conqueror: 0 24
Conqueror: 0 0
Conqueror: 24 56
Conqueror: 24 32
Conqueror: 0 32
Conqueror: 24 32
Conqueror: 0 21
Conqueror: 0 20
Conqueror: 0 24
Conqueror: 0 22
Conqueror: 30 56
Conqueror: 30 32
Conqueror: 5 21
Conqueror: 5 32
Conqueror: 30 32
Conqueror: 6 22
Conqueror: 5 20
Conqueror: 6 24
Conqueror: 36 56
Conqueror: 36 32
Conqueror: 10 32
Conqueror: 10 21
Conqueror: 12 22
Conqueror: 10 20
Conqueror: 12 24
Conqueror: 15 21
Conqueror: 18 22
Conqueror: 15 20
Conqueror: 4 54
Conqueror: 4 32
Conqueror: 18 24
Conqueror: 4 24
Conqueror: 15 32
Conqueror: 0 32
Conqueror: 0 56
Conqueror: 20 21
Conqueror: 24 22
Conqueror: 11 54
Conqueror: 20 20
Conqueror: 6 56
Conqueror: 11 32
Conqueror: 6 32
Conqueror: 11 24
Conqueror: 18 54
Conqueror: 12 56
Conqueror: 18 32
Conqueror: 2 25
Conqueror: 2 22
Conqueror: 0 0
Conqueror: 0 24
Conqueror: 18 24
Conqueror: 12 32
Conqueror: 2 21
Conqueror: 18 56
Conqueror: 25 54
Conqueror: 25 32
Conqueror: 7 25
Conqueror: 7 22
Conqueror: 6 24
Conqueror: 25 24
Conqueror: 0 19
Conqueror: 0 32
Conqueror: 18 32
Conqueror: 0 22
Conqueror: 0 33
Conqueror: 0 21
Conqueror: 7 21
Conqueror: 24 56
Conqueror: 12 25
Conqueror: 6 22
Conqueror: 6 33
Conqueror: 5 32
Conqueror: 24 32
Conqueror: 5 21
Conqueror: 12 21
Conqueror: 6 19
Conqueror: 1 24
Conqueror: 12 22
Conqueror: 1 22
Conqueror: 0 32
Conqueror: 0 54
Conqueror: 30 56
Conqueror: 17 25
Conqueror: 12 22
Conqueror: 10 32
Conqueror: 30 32
Conqueror: 12 33
Conqueror: 10 21
Conqueror: 17 21
Conqueror: 7 54
Conqueror: 12 19
Conqueror: 7 32
Conqueror: 7 24
Conqueror: 17 22
Conqueror: 7 22
Conqueror: 36 56
Conqueror: 18 22
Conqueror: 22 25
Conqueror: 15 32
Conqueror: 36 32
Conqueror: 15 21
Conqueror: 22 21
Conqueror: 14 54
Conqueror: 18 33
Conqueror: 14 32
Conqueror: 18 19
Conqueror: 13 24
Conqueror: 13 22
Conqueror: 21 54
Conqueror: 21 32
Conqueror: 24 19
Conqueror: 19 24
Conqueror: 4 64
Conqueror: 4 33
Conqueror: 1 31
Conqueror: 1 22
Conqueror: 0 25
Conqueror: 0 22
Conqueror: 19 22
Conqueror: 0 56
Conqueror: 28 54
Conqueror: 9 64
Conqueror: 4 31
Conqueror: 28 32
Conqueror: 25 24
Conqueror: 6 56
Conqueror: 5 25
Conqueror: 5 23
Conqueror: 5 31
Conqueror: 5 22
Conqueror: 5 18
Conqueror: 0 33
Conqueror: 9 33
Conqueror: 0 22
Conqueror: 4 22
Conqueror: 14 64
Conqueror: 35 54
Conqueror: 7 31
Conqueror: 12 56
Conqueror: 12 23
Conqueror: 10 25
Conqueror: 12 31
Conqueror: 12 18
Conqueror: 6 22
Conqueror: 7 22
Conqueror: 6 33
Conqueror: 14 33
Conqueror: 1 32
Conqueror: 35 32
Conqueror: 1 20
Conqueror: 1 20
Conqueror: 10 22
Conqueror: 0 22
Conqueror: 19 64
Conqueror: 10 31
Conqueror: 18 56
Conqueror: 19 23
Conqueror: 15 25
Conqueror: 19 31
Conqueror: 12 22
Conqueror: 10 22
Conqueror: 12 33
Conqueror: 19 33
Conqueror: 19 18
Conqueror: 7 20
Conqueror: 7 20
Conqueror: 15 22
Conqueror: 6 22
Conqueror: 3 50
Conqueror: 3 32
Conqueror: 0 54
Conqueror: 24 64
Conqueror: 13 31
Conqueror: 24 56
Conqueror: 20 25
Conqueror: 18 22
Conqueror: 13 22
Conqueror: 18 33
Conqueror: 24 33
Conqueror: 10 50
Conqueror: 7 54
Conqueror: 10 32
Conqueror: 20 22
Conqueror: 12 22
Conqueror: 13 20
Conqueror: 13 20
Conqueror: 1 23
Conqueror: 1 29
Conqueror: 1 19
Conqueror: 0 23
Conqueror: 0 31
Conqueror: 29 64
Conqueror: 16 31
Conqueror: 30 56
Conqueror: 24 22
Conqueror: 16 22
Conqueror: 25 25
Conqueror: 17 50
Conqueror: 29 33
Conqueror: 14 54
Conqueror: 17 32
Conqueror: 18 22
Conqueror: 7 23
Conqueror: 7 29
Conqueror: 7 19
Conqueror: 7 23
Conqueror: 19 20
Conqueror: 19 20
Conqueror: 7 31
Conqueror: 34 64
Conqueror: 36 56
Conqueror: 24 50
Conqueror: 21 54
Conqueror: 13 23
Conqueror: 13 29
Conqueror: 13 19
Conqueror: 24 32
Conqueror: 14 31
Conqueror: 25 20
Conqueror: 2 36
Conqueror: 14 23
Conqueror: 2 23
Conqueror: 0 0
Conqueror: 19 31
Conqueror: 24 22
Conqueror: 0 33
Conqueror: 34 33
Conqueror: 42 56
Conqueror: 31 50
Conqueror: 28 54
Conqueror: 5 36
Conqueror: 19 23
Conqueror: 19 29
Conqueror: 19 19
Conqueror: 31 32
Conqueror: 21 23
Conqueror: 5 23
Conqueror: 5 20
Conqueror: 5 17
Conqueror: 1 68
Conqueror: 21 31
Conqueror: 1 31
Conqueror: 0 21
Conqueror: 2 21
Conqueror: 22 31
Conqueror: 0 31
Conqueror: 0 32
Conqueror: 0 64
Conqueror: 0 20
Conqueror: 48 56
Conqueror: 8 36
Conqueror: 35 54
Conqueror: 38 50
Conqueror: 28 23
Conqueror: 8 23
Conqueror: 38 32
Conqueror: 7 68
Conqueror: 5 64
Conqueror: 25 31
Conqueror: 4 31
Conqueror: 4 32
Conqueror: 7 31
Conqueror: 11 20
Conqueror: 11 17
Conqueror: 6 20
Conqueror: 4 21
Conqueror: 8 21
Conqueror: 0 0
Conqueror: 11 36
Conqueror: 54 56
Conqueror: 42 54
Conqueror: 13 68
Conqueror: 28 31
Conqueror: 8 31
Conqueror: 10 64
Conqueror: 5 38
Conqueror: 8 32
Conqueror: 17 20
Conqueror: 6 55
Conqueror: 8 21
Conqueror: 14 21
Conqueror: 17 17
Conqueror: 6 37
Conqueror: 12 20
Conqueror: 6 20
Conqueror: 0 30
Conqueror: 0 23
Conqueror: 5 23
Conqueror: 0 26
Conqueror: 0 31
Conqueror: 13 31
Conqueror: 0 29
Conqueror: 0 21
Conqueror: 0 50
Conqueror: 14 36
Conqueror: 60 56
Conqueror: 19 68
Conqueror: 31 31
Conqueror: 12 31
Conqueror: 49 54
Conqueror: 15 64
Conqueror: 9 38
Conqueror: 12 32
Conqueror: 13 55
Conqueror: 13 37
Conqueror: 12 21
Conqueror: 20 21
Conqueror: 7 50
Conqueror: 4 26
Conqueror: 4 30
Conqueror: 4 21
Conqueror: 6 29
Conqueror: 7 31
Conqueror: 19 31
Conqueror: 6 23
Conqueror: 9 23
Conqueror: 0 0
Conqueror: 18 20
Conqueror: 13 20
Conqueror: 25 68
Conqueror: 13 38
Conqueror: 16 32
Conqueror: 20 55
Conqueror: 14 50
Conqueror: 8 26
Conqueror: 8 30
Conqueror: 8 21
Conqueror: 12 29
Conqueror: 12 23
Conqueror: 13 23
Conqueror: 20 37
Conqueror: 14 31
Conqueror: 25 31
Conqueror: 16 21
Conqueror: 26 21
Conqueror: 4 100
Conqueror: 20 64
Conqueror: 4 64
Conqueror: 56 54
Conqueror: 4 54
Conqueror: 0 20
Conqueror: 24 20
Conqueror: 20 20
Conqueror: 0 17
Conqueror: 0 15
Conqueror: 0 20
Conqueror: 17 36
Conqueror: 0 0
Conqueror: 16 0
Conqueror: 16 54
Conqueror: 20 36
Conqueror: 16 36
Conqueror: 31 68
Conqueror: 17 38
Conqueror: 12 26
Conqueror: 10 100
Conqueror: 12 30
Conqueror: 12 21
Conqueror: 18 23
Conqueror: 17 23
Conqueror: 25 64
Conqueror: 10 64
Conqueror: 18 29
Conqueror: 21 31
Conqueror: 31 31
Conqueror: 24 19
Conqueror: 5 20
Conqueror: 6 17
Conqueror: 6 15
Conqueror: 5 20
Conqueror: 6 20
Conqueror: 2 94
Conqueror: 21 50
Conqueror: 2 50
Conqueror: 0 55
Conqueror: 0 32
Conqueror: 0 37
Conqueror: 18 54
Conqueror: 23 36
Conqueror: 18 36
Conqueror: 21 38
Conqueror: 16 100
Conqueror: 30 64
Conqueror: 16 64
Conqueror: 16 26
Conqueror: 16 30
Conqueror: 16 21
Conqueror: 24 23
Conqueror: 21 23
Conqueror: 9 94
Conqueror: 28 50
Conqueror: 9 50
Conqueror: 11 20
Conqueror: 7 55
Conqueror: 4 32
Conqueror: 12 17
